test_size,n_estimators,Acurácia,Precisão,Recall,F1-Score,Kappa
0.1,100,60.61,64.71,61.11,62.86,20.99
0.1,200,60.61,64.71,61.11,62.86,20.99
0.1,300,60.61,64.71,61.11,62.86,20.99
0.1,400,60.61,64.71,61.11,62.86,20.99
0.1,500,60.61,64.71,61.11,62.86,20.99
0.1,600,60.61,64.71,61.11,62.86,20.99
0.1,700,60.61,64.71,61.11,62.86,20.99
0.1,800,63.64,68.75,61.11,64.71,27.47
0.1,900,63.64,68.75,61.11,64.71,27.47
0.1,1000,60.61,64.71,61.11,62.86,20.99
0.2,100,66.15,72.22,68.42,70.27,31.05
0.2,200,66.15,72.22,68.42,70.27,31.05
0.2,300,64.62,71.43,65.79,68.49,28.3
0.2,400,63.08,69.44,65.79,67.57,24.78
0.2,500,63.08,69.44,65.79,67.57,24.78
0.2,600,64.62,71.43,65.79,68.49,28.3
0.2,700,64.62,71.43,65.79,68.49,28.3
0.2,800,64.62,71.43,65.79,68.49,28.3
0.2,900,66.15,73.53,65.79,69.44,31.77
0.2,1000,64.62,71.43,65.79,68.49,28.3
0.3,100,65.98,68.97,72.73,70.8,30.12
0.3,200,67.01,70.18,72.73,71.43,32.43
0.3,300,67.01,70.18,72.73,71.43,32.43
0.3,400,67.01,70.18,72.73,71.43,32.43
0.3,500,67.01,70.18,72.73,71.43,32.43
0.3,600,67.01,70.18,72.73,71.43,32.43
0.3,700,68.04,71.43,72.73,72.07,34.73
0.3,800,68.04,71.43,72.73,72.07,34.73
0.3,900,68.04,71.43,72.73,72.07,34.73
0.3,1000,68.04,71.43,72.73,72.07,34.73
