test_size,n_estimators,Acurácia,Precisão,Recall,F1-Score,Kappa
0.1,100,90.72,86.67,98.11,92.04,81.03
0.1,200,88.66,86.21,94.34,90.09,76.9
0.1,300,88.66,86.21,94.34,90.09,76.9
0.1,400,88.66,86.21,94.34,90.09,76.9
0.1,500,88.66,86.21,94.34,90.09,76.9
0.1,600,88.66,86.21,94.34,90.09,76.9
0.1,700,88.66,86.21,94.34,90.09,76.9
0.1,800,88.66,86.21,94.34,90.09,76.9
0.1,900,88.66,86.21,94.34,90.09,76.9
0.1,1000,88.66,86.21,94.34,90.09,76.9
0.2,100,92.78,92.31,95.58,93.91,85.06
0.2,200,92.27,91.53,95.58,93.51,83.96
0.2,300,92.78,92.31,95.58,93.91,85.06
0.2,400,93.3,91.67,97.35,94.42,86.05
0.2,500,93.3,91.67,97.35,94.42,86.05
0.2,600,93.3,91.67,97.35,94.42,86.05
0.2,700,93.3,91.67,97.35,94.42,86.05
0.2,800,93.3,91.67,97.35,94.42,86.05
0.2,900,93.3,91.67,97.35,94.42,86.05
0.2,1000,93.3,91.67,97.35,94.42,86.05
0.3,100,91.75,88.95,98.26,93.37,82.53
0.3,200,91.41,88.48,98.26,93.11,81.78
0.3,300,91.41,88.48,98.26,93.11,81.78
0.3,400,91.41,88.48,98.26,93.11,81.78
0.3,500,91.41,88.48,98.26,93.11,81.78
0.3,600,91.07,88.02,98.26,92.86,81.03
0.3,700,91.07,88.02,98.26,92.86,81.03
0.3,800,91.07,88.02,98.26,92.86,81.03
0.3,900,91.07,88.02,98.26,92.86,81.03
0.3,1000,91.07,88.02,98.26,92.86,81.03
