test_size,n_estimators,Acurácia,Precisão,Recall,F1-Score,Kappa
0.1,100,78.21,79.59,84.78,82.11,54.31
0.1,200,78.21,79.59,84.78,82.11,54.31
0.1,300,78.21,79.59,84.78,82.11,54.31
0.1,400,78.21,79.59,84.78,82.11,54.31
0.1,500,79.49,80.0,86.96,83.33,56.79
0.1,600,79.49,80.0,86.96,83.33,56.79
0.1,700,80.77,80.39,89.13,84.54,59.29
0.1,800,80.77,80.39,89.13,84.54,59.29
0.1,900,80.77,80.39,89.13,84.54,59.29
0.1,1000,79.49,80.0,86.96,83.33,56.79
0.2,100,80.13,81.0,87.1,83.94,57.98
0.2,200,79.49,80.81,86.02,83.33,56.73
0.2,300,80.13,81.0,87.1,83.94,57.98
0.2,400,80.77,81.19,88.17,84.54,59.23
0.2,500,80.77,81.19,88.17,84.54,59.23
0.2,600,80.77,81.19,88.17,84.54,59.23
0.2,700,81.41,81.37,89.25,85.13,60.48
0.2,800,81.41,81.37,89.25,85.13,60.48
0.2,900,81.41,81.37,89.25,85.13,60.48
0.2,1000,81.41,81.37,89.25,85.13,60.48
0.3,100,81.2,84.0,86.3,85.14,59.57
0.3,200,80.77,83.44,86.3,84.85,58.55
0.3,300,80.77,83.44,86.3,84.85,58.55
0.3,400,79.91,82.35,86.3,84.28,56.51
0.3,500,79.91,81.94,86.99,84.39,56.31
0.3,600,80.34,82.05,87.67,84.77,57.14
0.3,700,80.77,82.58,87.67,85.05,58.17
0.3,800,80.77,82.58,87.67,85.05,58.17
0.3,900,80.77,82.58,87.67,85.05,58.17
0.3,1000,80.77,82.58,87.67,85.05,58.17
