test_size,n_estimators,Acurácia,Precisão,Recall,F1-Score,Kappa
0.1,100,96.55,98.53,95.71,97.1,92.85
0.1,200,96.55,98.53,95.71,97.1,92.85
0.1,300,97.41,100.0,95.71,97.81,94.66
0.1,400,97.41,100.0,95.71,97.81,94.66
0.1,500,97.41,100.0,95.71,97.81,94.66
0.1,600,97.41,100.0,95.71,97.81,94.66
0.1,700,97.41,100.0,95.71,97.81,94.66
0.1,800,97.41,100.0,95.71,97.81,94.66
0.1,900,97.41,100.0,95.71,97.81,94.66
0.1,1000,97.41,100.0,95.71,97.81,94.66
0.2,100,92.67,91.18,96.12,93.58,85.06
0.2,200,93.1,91.24,96.9,93.98,85.92
0.2,300,92.67,90.58,96.9,93.63,85.03
0.2,400,93.53,91.3,97.67,94.38,86.79
0.2,500,92.67,90.58,96.9,93.63,85.03
0.2,600,93.53,91.91,96.9,94.34,86.81
0.2,700,93.1,91.24,96.9,93.98,85.92
0.2,800,92.67,91.18,96.12,93.58,85.06
0.2,900,93.1,91.85,96.12,93.94,85.95
0.2,1000,92.67,91.18,96.12,93.58,85.06
0.3,100,89.08,86.79,94.85,90.64,77.6
0.3,200,90.8,89.71,94.33,91.96,81.24
0.3,300,90.8,89.71,94.33,91.96,81.24
0.3,400,91.38,90.59,94.33,92.42,82.43
0.3,500,90.52,89.66,93.81,91.69,80.66
0.3,600,91.09,90.15,94.33,92.19,81.84
0.3,700,91.09,90.15,94.33,92.19,81.84
0.3,800,90.8,89.71,94.33,91.96,81.24
0.3,900,90.8,90.1,93.81,91.92,81.26
0.3,1000,90.8,90.1,93.81,91.92,81.26
