test_size,n_estimators,Acurácia,Precisão,Recall,F1-Score,Kappa
0.1,100,66.67,73.33,68.75,70.97,31.93
0.1,200,66.67,73.33,68.75,70.97,31.93
0.1,300,70.37,75.0,75.0,75.0,38.64
0.1,400,70.37,75.0,75.0,75.0,38.64
0.1,500,70.37,75.0,75.0,75.0,38.64
0.1,600,70.37,75.0,75.0,75.0,38.64
0.1,700,70.37,75.0,75.0,75.0,38.64
0.1,800,70.37,75.0,75.0,75.0,38.64
0.1,900,70.37,75.0,75.0,75.0,38.64
0.1,1000,70.37,75.0,75.0,75.0,38.64
0.2,100,72.22,80.0,72.73,76.19,43.04
0.2,200,72.22,80.0,72.73,76.19,43.04
0.2,300,72.22,80.0,72.73,76.19,43.04
0.2,400,72.22,80.0,72.73,76.19,43.04
0.2,500,72.22,80.0,72.73,76.19,43.04
0.2,600,72.22,80.0,72.73,76.19,43.04
0.2,700,72.22,80.0,72.73,76.19,43.04
0.2,800,72.22,80.0,72.73,76.19,43.04
0.2,900,72.22,80.0,72.73,76.19,43.04
0.2,1000,72.22,80.0,72.73,76.19,43.04
0.3,100,71.6,83.33,68.63,75.27,42.66
0.3,200,72.84,83.72,70.59,76.6,44.8
0.3,300,70.37,81.4,68.63,74.47,39.78
0.3,400,70.37,80.0,70.59,75.0,38.98
0.3,500,71.6,81.82,70.59,75.79,41.91
0.3,600,70.37,80.0,70.59,75.0,38.98
0.3,700,70.37,80.0,70.59,75.0,38.98
0.3,800,71.6,80.43,72.55,76.29,41.14
0.3,900,71.6,80.43,72.55,76.29,41.14
0.3,1000,71.6,80.43,72.55,76.29,41.14
